key,value
0,Udelt uddannelse
1,1. år
10,10. klasse
11,11. klasse
2,2. år
20,0. klassetrin
21,1. klassetrin
22,2. klassetrin
23,3. klassetrin
24,4. klassetrin
25,5. klassetrin
26,6. klassetrin
27,7. klassetrin
28,8. klassetrin
29,9. klassetrin
3,3. år
30,10. klassetrin
31,11. klassetrin
4,4. klasse
40,FGU basis
41,FGU spor
5,5. klasse
51,EUD indgangsforløb
52,EUD hovedforløb
53,EUD indgangsforløb 1
54,EUD indgangsforløb 2
55,EUD EUX studiekompetenceforløb
6,6. klasse
60,Udelt kandidatuddannelse
61,Bacheloruddannelse
62,Kandidatoverbygning
64,Akademisk overbygningsuddannelse
7,7. klasse
71,Bifag
72,Sidefag
73,Suppleringsfag
76,Sidefagssupplering 1/2 år
8,8. klasse
9,9. klasse
